comment,comment-type,severity,category,example_fix
"There are spelling mistakes that could be avoided by using a spell-checker (e.g. within WORD) or a dictionary. Professional presentation should aim to have minimal numbers of errors in this respect.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sentence construction is faulty and the phrases or word groupings presented are not always formed into proper sentences.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sentence length is a problem in that over-lengthy sentences are being used. Aim to have a maximum of 15-20 words per sentence.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Punctuation needs attention. The most common issues are: insufficient commas; failure to use the full stop; incorrect use of the apostrophe.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Mobile phone ‘text-syndrome’ is a problem. This means that the written work contains abbreviations (or lower case letters), which might be acceptable in a text message but are not appropriate in formal reporting.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Grammatical errors are present within sentences and expressions.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"There is a tendency to use inappropriate or incorrect words within sentences and phrases.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Paragraph structure is faulty, e.g. paragraphs are too short (staccato style) and only include 1-2 sentences; paragraphs are not properly divided with each one relating to a new theme; paragraphs are not properly formatted on the page; paragraphs are absent altogether.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Bullet points are used in excess, where there should be more prose within the written work submitted.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"A first person style (i.e. using I, We, You etc.) has been used, where the expectation for the submission is the use of a third person style.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"There is evidence that insufficient proofreading has taken place, due to the number of typographical errors that can be readily identified.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Slang expressions, foul/vulgar language or inappropriate expressions have been used.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Discussion aspects are difficult to follow, as they are illogical, poorly expressed, badly sequenced or otherwise weakly reasoned.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Unreasonable assumptions are being made in respect of the reader e.g. acronyms are being used without a full explanation on the first rendering; terminology is being introduced without definition, explanation or appropriate referencing; excessive use of jargon is spoiling the flow of the text.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sections feature trivial or insufficient treatment of the related subject-matter, e.g. coverage is too short or too shallow in nature.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sections are over-lengthy/verbose and material needs to be edited to make it more succinct.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Word count recommendations have not been complied with i.e. the length of the document is significantly too high or significantly too low.",spelling,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"There are spelling mistakes that could be avoided by using a spell-checker (e.g. within WORD) or a dictionary. Professional presentation should aim to have minimal numbers of errors in this respect.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sentence construction is faulty and the phrases or word groupings presented are not always formed into proper sentences.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sentence length is a problem in that over-lengthy sentences are being used. Aim to have a maximum of 15-20 words per sentence.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Punctuation needs attention. The most common issues are: insufficient commas; failure to use the full stop; incorrect use of the apostrophe.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Mobile phone ‘text-syndrome’ is a problem. This means that the written work contains abbreviations (or lower case letters), which might be acceptable in a text message but are not appropriate in formal reporting.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Grammatical errors are present within sentences and expressions.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"There is a tendency to use inappropriate or incorrect words within sentences and phrases.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Paragraph structure is faulty, e.g. paragraphs are too short (staccato style) and only include 1-2 sentences; paragraphs are not properly divided with each one relating to a new theme; paragraphs are not properly formatted on the page; paragraphs are absent altogether.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Bullet points are used in excess, where there should be more prose within the written work submitted.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"A first person style (i.e. using I, We, You etc.) has been used, where the expectation for the submission is the use of a third person style.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"There is evidence that insufficient proofreading has taken place, due to the number of typographical errors that can be readily identified.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Slang expressions, foul/vulgar language or inappropriate expressions have been used.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Discussion aspects are difficult to follow, as they are illogical, poorly expressed, badly sequenced or otherwise weakly reasoned.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Unreasonable assumptions are being made in respect of the reader e.g. acronyms are being used without a full explanation on the first rendering; terminology is being introduced without definition, explanation or appropriate referencing; excessive use of jargon is spoiling the flow of the text.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sections feature trivial or insufficient treatment of the related subject-matter, e.g. coverage is too short or too shallow in nature.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Sections are over-lengthy/verbose and material needs to be edited to make it more succinct.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Word count recommendations have not been complied with i.e. the length of the document is significantly too high or significantly too low.",structure,medium,writing quality,"Revise to improve clarity, grammar, or structure as needed."
"Terminology used inconsistently across the document.",terminology,medium,language use,"Ensure consistent use of key terms throughout the text."
"Incorrect or undefined technical terms have been used.",terminology,medium,language use,"Define technical terms clearly when first introduced."
"Overuse of jargon makes the writing less accessible.",terminology,low,language use,"Simplify or replace jargon with plain language where possible."
"The use of colloquial or informal language is inappropriate for an academic or professional context.",terminology,medium,language use,"Replace informal expressions with formal equivalents."
"Key terminology has been omitted, leading to vague or unclear discussion of technical concepts.",terminology,medium,language use,"Introduce and define key terms essential to the topic."
"Terminology is misused or applied incorrectly in some areas.",terminology,high,language use,"Review word choice and ensure terminology is used in the correct context."
"Specialist vocabulary is insufficient or overly simplified for the intended audience.",terminology,low,language use,"Include appropriate subject-specific terminology where necessary."
"Inconsistent abbreviations or acronyms reduce clarity.",terminology,medium,language use,"Standardise the use of abbreviations and define each on first use."
"Use of non-standard or invented terms creates confusion.",terminology,medium,language use,"Replace non-standard terms with widely accepted terminology."
"Key terms are used interchangeably when they should have distinct meanings.",terminology,medium,language use,"Clarify distinctions between similar terms to maintain precision."